n,m,avg_min_loss,loss_std,avg_max_acc,acc_std
0.0,0.0,10.758667755126954,0.04724948009410174,0.955660057067871,0.008428967183033735
1.0,5.0,10.755056190490723,0.08339480804822658,0.9606619834899902,0.012842578354757866
2.0,5.0,10.731104469299316,0.06631671996790818,0.9637733578681946,0.00754816730276801
3.0,5.0,10.755367851257324,0.09624685896625616,0.9612772583961486,0.014594918184759676
1.0,7.0,10.749939155578613,0.04631423672678513,0.9619003176689148,0.007748053219618151
2.0,7.0,10.742720794677734,0.04506910615430954,0.9594100594520569,0.010023578906880545
3.0,7.0,10.714739799499512,0.07521758277332431,0.9619139432907104,0.013823027110823774
1.0,9.0,10.722393989562988,0.06531586583522032,0.9669003129005432,0.00850170835526988
2.0,9.0,10.736215209960937,0.059887765453615766,0.963152265548706,0.013155449525523598
3.0,9.0,10.741429328918457,0.06653538863775828,0.9587830901145935,0.006614332924104307
1.0,11.0,10.730810737609863,0.05117826153774174,0.9694003105163574,0.01105226079384159
2.0,11.0,10.696724128723144,0.03895078205580782,0.9656581044197082,0.009819343884207528
3.0,11.0,10.73798828125,0.09651406075710119,0.9644100546836853,0.01725625133477297
1.0,13.0,10.726266288757325,0.07271301408886431,0.9600272417068482,0.011750736976141991
2.0,13.0,10.733918190002441,0.03981011890729717,0.9637791991233826,0.006073122085302988
3.0,13.0,10.740841484069824,0.026325265993265366,0.958156156539917,0.00608257636098268
1.0,15.0,10.662628936767579,0.029843357469431044,0.9694003224372864,0.0056840928710360766
2.0,15.0,10.681355667114257,0.04420585449544113,0.9675214171409607,0.008745512632527116
3.0,15.0,10.66677474975586,0.061310393167287945,0.9687772512435913,0.008575570551219996
